date,TanChau_Discharge,MyTho_EC,MyTho_Salinity,TanChau_Discharge_lag_1d,TanChau_Discharge_lag_3d,TanChau_Discharge_lag_5d,TanChau_Discharge_lag_7d,TanChau_Discharge_lag_14d,TanChau_Discharge_lag_21d,TanChau_Discharge_lag_30d,TanChau_Discharge_roll_3d,TanChau_Discharge_roll_7d,TanChau_Discharge_roll_14d
1994-03-20,78.77734,491.0,314.24,87.427734,114.271484,156.89648,215.28906,302.75977,382.83398,316.4043,88.42708333333333,122.01813616071429,195.79129464285714
1994-03-21,72.80859,499.0,319.36,78.77734,99.07617,133.50781,184.16992,295.77148,369.4453,328.0039,79.67122395833333,106.109375,179.86537388392858
1994-03-22,74.177734,507.0,324.48,72.80859,87.427734,114.271484,156.89648,289.80273,356.29492,342.19922,75.25455729166667,94.29241071428571,164.46358816964286
1994-03-23,87.26953,515.0,329.6,74.177734,78.77734,99.07617,133.50781,284.26367,343.60156,356.08594,78.08528645833333,87.68694196428571,150.392578125
1994-03-24,98.04883,523.0,334.72,87.26953,72.80859,87.427734,114.271484,278.81836,331.6875,372.0371,86.49869791666667,85.36941964285714,137.48046875
1994-03-25,114.615234,531.0,339.84,98.04883,74.177734,78.77734,99.07617,273.3125,320.85938,390.31445,99.97786458333333,87.58928571428571,126.14494977678571
1994-03-26,138.13672,539.0,344.96,114.615234,87.26953,72.80859,87.427734,249.69336,311.12695,402.3457,116.93359375,94.83342633928571,118.17661830357143
1994-03-27,169.60352,547.0,350.08,138.13672,98.04883,74.177734,78.77734,215.28906,302.75977,402.83203,140.78515625,107.80859375,114.91336495535714
1994-03-28,210.54297,555.0,355.2,169.60352,114.615234,87.26953,72.80859,184.16992,295.77148,394.89648,172.76106770833334,127.48493303571429,116.79715401785714
1994-03-29,241.27344,563.0,360.32,210.54297,138.13672,98.04883,74.177734,156.89648,289.80273,382.83398,207.13997395833334,151.35574776785714,122.82407924107143
1994-03-30,250.45898,571.0,365.44,241.27344,169.60352,114.615234,87.26953,133.50781,284.26367,369.4453,234.091796875,174.66852678571428,131.177734375
1994-03-31,250.48242,579.0,370.56,250.45898,210.54297,138.13672,98.04883,114.271484,278.81836,356.29492,247.40494791666666,196.44475446428572,140.90708705357142
1994-04-01,257.42773,587.0,375.68,250.48242,241.27344,169.60352,114.615234,99.07617,273.3125,343.60156,252.78971354166666,216.84654017857142,152.21791294642858
